"#Parameters = {h=1.6; lo1=5.55; lo2=4.4; lp=6.7; t=0.035; wg=25; wo1=0.6; wo2=2.96; wp=7.6; yg=25}";
"#""Frequency / GHz""";S1,1 [Magnitude]
95.836.000.442.505;-78.180.963.232.523
95.903.997.421.265;-77.035.091.368.541
95.972.003.936.768;-75.917.748.571.002
96.040.000.915.527;-74.828.072.250.402
96.107.997.894.287;-73.765.216.555.371
96.176.004.409.790;-72.728.402.185.954
96.244.001.388.550;-71.716.868.755.817
96.311.998.367.310;-70.729.844.776.031
96.379.995.346.069;-69.766.649.577.430
96.448.001.861.572;-68.826.571.164.906
96.515.998.840.332;-67.908.971.783.194
96.583.995.819.092;-67.013.190.694.534
96.652.002.334.595;-66.138.626.463.762
96.719.999.313.354;-65.284.685.056.993
96.787.996.292.114;-64.450.771.741.677
96.856.002.807.617;-63.636.335.274.177
96.923.999.786.377;-62.840.855.581.770
96.991.996.765.137;-62.063.779.765.380
97.060.003.280.640;-61.304.614.004.316
97.128.000.259.399;-60.562.874.625.063
97.195.997.238.159;-59.838.078.973.029
97.264.003.753.662;-59.129.743.937.789
97.332.000.732.422;-58.437.452.216.514
97.399.997.711.182;-57.760.752.873.385
97.468.004.226.685;-57.099.210.038.190
97.536.001.205.444;-56.452.421.737.881
97.603.998.184.204;-55.819.961.964.631
97.672.004.699.707;-55.201.470.504.491
97.740.001.678.467;-54.596.553.494.889
97.807.998.657.227;-54.004.836.371.602
97.875.995.635.986;-53.425.959.834.059
97.944.002.151.489;-52.859.556.829.038
98.011.999.130.249;-52.305.293.706.572
98.079.996.109.009;-51.762.841.799.739
98.148.002.624.512;-51.231.862.211.809
98.215.999.603.271;-50.712.034.272.207
98.283.996.582.031;-50.203.051.842.936
98.352.003.097.534;-49.704.622.972.492
98.420.000.076.294;-49.216.425.559.768
98.487.997.055.054;-48.738.202.668.604
98.556.003.570.557;-48.269.621.278.054
98.624.000.549.316;-47.810.465.562.034
98.691.997.528.076;-47.360.434.553.986
98.760.004.043.579;-46.919.261.901.951
98.828.001.022.339;-46.486.699.255.738
98.895.998.001.099;-46.062.517.062.675
98.964.004.516.602;-45.646.438.773.537
99.032.001.495.361;-45.238.265.302.012
99.099.998.474.121;-44.837.722.282.503
99.167.995.452.881;-44.444.628.584.835
99.236.001.968.384;-44.058.748.695.592
99.303.998.947.144;-43.679.856.856.639
99.371.995.925.903;-43.307.770.227.456
99.440.002.441.406;-42.942.269.609.768
99.507.999.420.166;-42.583.172.840.588
99.575.996.398.926;-42.230.284.750.498
99.644.002.914.429;-41.883.421.100.352
99.711.999.893.188;-41.542.401.063.371
99.779.996.871.948;-41.207.056.449.577
